Time,y2,y3
2022-02-21 16:24:13.263,32,32
2022-02-21 16:24:14.074,32,32
2022-02-21 16:24:14.884,32,32
2022-02-21 16:24:15.694,32,32
2022-02-21 16:24:16.504,32,32
2022-02-21 16:24:17.315,44,44
2022-02-21 16:24:18.125,44,44
2022-02-21 16:24:18.935,44,44
2022-02-21 16:24:19.746,44,44
2022-02-21 16:24:20.556,32,32
2022-02-21 16:24:21.366,32,32
2022-02-21 16:24:22.177,32,32
2022-02-21 16:24:22.987,32,32
2022-02-21 16:24:23.797,32,32
2022-02-21 16:24:24.607,32,32
2022-02-21 16:24:25.418,32,32
2022-02-21 16:24:26.228,32,32
2022-02-21 16:24:27.038,32,32
2022-02-21 16:24:27.849,32,32
2022-02-21 16:24:28.659,32,32
2022-02-21 16:24:29.469,32,32
2022-02-21 16:24:30.280,32,32
2022-02-21 16:24:31.090,32,32
2022-02-21 16:24:31.900,32,32
2022-02-21 16:24:32.710,32,32
2022-02-21 16:24:33.521,32,32
2022-02-21 16:24:34.331,32,32
2022-02-21 16:24:35.141,32,32
2022-02-21 16:24:35.951,32,32
2022-02-21 16:24:36.762,32,32
2022-02-21 16:24:37.572,32,32
2022-02-21 16:24:38.382,32,32
2022-02-21 16:24:39.193,32,32
2022-02-21 16:24:40.003,32,32
2022-02-21 16:24:40.813,32,32
2022-02-21 16:24:41.624,32,32
2022-02-21 16:24:42.434,32,32
2022-02-21 16:24:43.244,32,32
2022-02-21 16:24:44.054,32,32
2022-02-21 16:24:44.865,32,32
2022-02-21 16:24:45.675,32,32
2022-02-21 16:24:46.485,32,32
2022-02-21 16:24:47.296,32,32
2022-02-21 16:24:48.106,32,32
2022-02-21 16:24:48.916,32,32
2022-02-21 16:24:49.726,32,32
2022-02-21 16:24:50.535,32,32
2022-02-21 16:24:57.802,12,12
2022-02-21 16:24:58.612,12,12
2022-02-21 16:24:59.422,12,12
2022-02-21 16:25:00.232,12,12
2022-02-21 16:25:01.043,12,12
2022-02-21 16:25:01.852,12,12
2022-02-21 16:26:37.108,32,32
2022-02-21 16:26:37.918,32,32
2022-02-21 16:26:38.728,32,32
2022-02-21 16:26:39.538,32,32
2022-02-21 16:26:40.349,32,32
2022-02-21 16:26:41.159,32,32
2022-02-21 16:26:41.969,32,32
2022-02-21 16:26:42.779,32,32
2022-02-21 16:26:43.590,32,32
2022-02-21 16:26:44.400,32,32
2022-02-21 16:26:45.210,32,32
2022-02-21 16:26:46.021,32,32
2022-02-21 16:26:46.831,32,32
